index,title,budget,genres,id,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
0,Avatar,237000000,Action Adventure Fantasy Science Fiction,19995,en,150.437577,10-12-09,2787965087,162,7.2,11800
1,Pirates of the Caribbean: At World's End,300000000,Adventure Fantasy Action,285,en,139.082615,19-05-07,961000000,169,6.9,4500
2,Spectre,245000000,Action Adventure Crime,206647,en,107.376788,26-10-15,880674609,148,6.3,4466
3,The Dark Knight Rises,250000000,Action Crime Drama Thriller,49026,en,112.31295,16-07-12,1084939099,165,7.6,9106
4,John Carter,260000000,Action Adventure Science Fiction,49529,en,43.926995,07-03-12,284139100,132,6.1,2124
5,Spider-Man 3,258000000,Fantasy Action Adventure,559,en,115.699814,01-05-07,890871626,139,5.9,3576
6,Tangled,260000000,Animation Family,38757,en,48.681969,24-11-10,591794936,100,7.4,3330
7,Avengers: Age of Ultron,280000000,Action Adventure Science Fiction,99861,en,134.279229,22-04-15,1405403694,141,7.3,6767
8,Harry Potter and the Half-Blood Prince,250000000,Adventure Fantasy Family,767,en,98.885637,07-07-09,933959197,153,7.4,5293
9,Batman v Superman: Dawn of Justice,250000000,Action Adventure Fantasy,209112,en,155.790452,23-03-16,873260194,151,5.7,7004
10,Superman Returns,270000000,Adventure Fantasy Action Science Fiction,1452,en,57.925623,28-06-06,391081192,154,5.4,1400
11,Quantum of Solace,200000000,Adventure Action Thriller Crime,10764,en,107.928811,30-10-08,586090727,106,6.1,2965
12,Pirates of the Caribbean: Dead Man's Chest,200000000,Adventure Fantasy Action,58,en,145.847379,20-06-06,1065659812,151,7,5246
13,The Lone Ranger,255000000,Action Adventure Western,57201,en,49.046956,03-07-13,89289910,149,5.9,2311
14,Man of Steel,225000000,Action Adventure Fantasy Science Fiction,49521,en,99.398009,12-06-13,662845518,143,6.5,6359
15,The Chronicles of Narnia: Prince Caspian,225000000,Adventure Family Fantasy,2454,en,53.978602,15-05-08,419651413,150,6.3,1630
16,The Avengers,220000000,Science Fiction Action Adventure,24428,en,144.448633,25-04-12,1519557910,143,7.4,11776
17,Pirates of the Caribbean: On Stranger Tides,380000000,Adventure Action Fantasy,1865,en,135.413856,14-05-11,1045713802,136,6.4,4948
18,Men in Black 3,225000000,Action Comedy Science Fiction,41154,en,52.035179,23-05-12,624026776,106,6.2,4160
19,The Hobbit: The Battle of the Five Armies,250000000,Action Adventure Fantasy,122917,en,120.965743,10-12-14,956019788,144,7.1,4760
20,The Amazing Spider-Man,215000000,Action Adventure Fantasy,1930,en,89.866276,27-06-12,752215857,136,6.5,6586
21,Robin Hood,200000000,Action Adventure,20662,en,37.668301,12-05-10,310669540,140,6.2,1398
22,The Hobbit: The Desolation of Smaug,250000000,Adventure Fantasy,57158,en,94.370564,11-12-13,958400000,161,7.6,4524
23,The Golden Compass,180000000,Adventure Fantasy,2268,en,42.990906,04-12-07,372234864,113,5.8,1303
24,King Kong,207000000,Adventure Drama Action,254,en,61.22601,14-12-05,550000000,187,6.6,2337
25,Titanic,200000000,Drama Romance Thriller,597,en,100.025899,18-11-97,1845034188,194,7.5,7562
26,Captain America: Civil War,250000000,Adventure Action Science Fiction,271110,en,198.372395,27-04-16,1153304495,147,7.1,7241
27,Battleship,209000000,Thriller Action Adventure Science Fiction,44833,en,64.928382,11-04-12,303025485,131,5.5,2114
28,Jurassic World,150000000,Action Adventure Science Fiction Thriller,135397,en,418.708552,09-06-15,1513528810,124,6.5,8662
29,Skyfall,200000000,Action Adventure Thriller,37724,en,93.004993,25-10-12,1108561013,143,6.9,7604
30,Spider-Man 2,200000000,Action Adventure Fantasy,558,en,35.149586,25-06-04,783766341,127,6.7,4321
31,Iron Man 3,200000000,Action Adventure Science Fiction,68721,en,77.68208,18-04-13,1215439994,130,6.8,8806
32,Alice in Wonderland,200000000,Family Fantasy Adventure,12155,en,78.530105,03-03-10,1025491110,108,6.4,4645
33,X-Men: The Last Stand,210000000,Adventure Action Science Fiction Thriller,36668,en,3.857526,24-05-06,459359555,104,6.3,3525
34,Monsters University,200000000,Animation Family,62211,en,89.186492,20-06-13,743559607,104,7,3528
35,Transformers: Revenge of the Fallen,150000000,Science Fiction Action Adventure,8373,en,21.939663,19-06-09,836297228,150,6,3138
36,Transformers: Age of Extinction,210000000,Science Fiction Action Adventure,91314,en,116.840296,25-06-14,1091405097,165,5.8,3095
37,Oz: The Great and Powerful,200000000,Fantasy Adventure Family,68728,en,46.985445,07-03-13,491868548,130,5.7,3530
38,The Amazing Spider-Man 2,200000000,Action Adventure Fantasy,102382,en,89.270217,16-04-14,705717432,142,6.5,4179
39,TRON: Legacy,170000000,Adventure Action Science Fiction,20526,en,73.79505,10-12-10,400062763,125,6.3,2841
40,Cars 2,200000000,Animation Family Adventure Comedy,49013,en,49.98659,11-06-11,559852396,106,5.8,2033
41,Green Lantern,200000000,Adventure Action Thriller Science Fiction,44912,en,51.872839,16-06-11,219851172,114,5.1,2487
42,Toy Story 3,200000000,Animation Family Comedy,10193,en,59.995418,16-06-10,1066969703,103,7.6,4597
43,Terminator Salvation,200000000,Action Science Fiction Thriller,534,en,71.862892,20-05-09,371353001,115,5.9,2463
44,Furious 7,190000000,Action,168259,en,102.322217,01-04-15,1506249360,137,7.3,4176
45,World War Z,200000000,Action Drama Horror Science Fiction Thriller,72190,en,81.834855,20-06-13,531865000,116,6.7,5560
46,X-Men: Days of Future Past,250000000,Action Adventure Fantasy Science Fiction,127585,en,118.078691,15-05-14,747862775,131,7.5,6032
47,Star Trek Into Darkness,190000000,Action Adventure Science Fiction,54138,en,78.291018,05-05-13,467365246,132,7.4,4418
48,Jack the Giant Slayer,195000000,Action Family Fantasy,81005,en,43.349855,27-02-13,197687603,114,5.5,2598
49,The Great Gatsby,105000000,Drama Romance,64682,en,61.196071,10-05-13,351040419,143,7.3,3769
